塔寺,BU,TAS,115.493,40.0836,1276.17,100,BBVS-60,EDAS-24GN
太师屯,BU,TST,117.1276,40.5371,180.75,100,BBVS-60,EDAS-24GN
完县,BU,WAX,115.0628,38.8639,100,100,BBVS-60,EDAS-24GN
文安,BU,WEA,116.4534,38.8469,0.21,100,FSS-3DBH,EDAS-24IP
雄县,BU,XOX,116.0936,38.9594,-350,100,FSS-3DBH（2S）,EDAS-24IP
宣化,BU,XUH,115.0428,40.4783,820,100,BBVS-60,EDAS-24GN
涿鹿,BU,ZHL,115.1331,40.1572,1100,100,BBVS-60,EDAS-24GN
张家口,BU,ZJT,114.9018,40.8307,869.33,100,BBVS-60,EDAS-24GN
周口店,BU,ZKD,115.9222,39.6881,120,100,BBVS-60,EDAS-24GN
遵化,BU,ZUH,117.6761,40.1919,60,100,BBVS-60,EDAS-24GN
重庆,CQ,CQT,106.573,29.4222,255,100,KS-2000(120s),SMART-24
城口,CQ,CHK,108.6461,31.9627,840,100,CMG-3ESPC,TDE-324CI
长寿,CQ,CHS,107.2325,29.905,350,100,CMG-3ESPC,TDE-324CI
涪陵,CQ,FUL,107.4375,29.7263,695,100,CMG-3ESPC,TDE-324CI
黔江,CQ,QIJ,108.7958,29.5639,430,100,CMG-3ESPC,TDE-324CI
荣昌,CQ,ROC,105.4431,29.3793,430,100,CMG-3ESPC,TDE-324CI
石柱,CQ,SHZ,108.3847,30.2444,1552,100,CMG-3ESPC,TDE-324CI
万盛,CQ,WAS,106.9167,28.875,488,100,CMG-3ESPC,TDE-324CI
万州,CQ,WAZ,108.4607,30.752,493,100,CMG-3ESPC,TDE-324CI
武隆,CQ,WUL,107.8265,29.1881,330,100,CMG-3ESPC,TDE-324CI
巫溪,CQ,WUX,109.6107,31.401,284,100,CMG-3ESPC,TDE-324CI
渝北,CQ,YUB,106.8273,29.8583,230,100,CMG-3ESPC,TDE-324CI
福州城门,FJ,FZCM,119.37,26.01,140,100,CMG-3ESPC(120S),EDAS-24GN
南平东坑,FJ,NPDK,118.19,26.62,180,100,CMG-3ESPC(120S),EDAS-24GN
泉州,FJ,QZH,118.59,24.94,47,100,CTS-1,EDAS-24IP
长汀汀州,FJ,CTTZ,116.35,25.84,338,100,FBS-3M,EDAS-24GN
东山西埔,FJ,DSXP,117.43,23.71,53,100,BBVS-60,EDAS-24GN
福鼎秦屿,FJ,FDQY,120.26,27.12,44,100,CMG-3ESPC-60,EDAS-24IP
福清东张,FJ,FQDZ,119.29,25.7,105,100,CMG-3ESPC-60,EDAS-24IP
古田水口,FJ,GTSK,118.73,26.37,102,100,FSS-3M（2S）,EDAS-24IP
华安华丰,FJ,HAHF,117.52,25.01,145,100,CMG-3ESPC-60,EDAS-24IP
惠安净峰,FJ,HAJF,118.96,24.98,101,100,CMG-3ESPC-60,EDAS-24IP
连江苔菉,FJ,LJTL,119.92,26.35,186,100,CMG-3ESPC-60,EDAS-24IP
龙岩西陂,FJ,LYXP,117.03,25.13,404,100,FBS-3M,EDAS-24GN
闽清东桥,FJ,MQDQ,118.91,26.38,172,100,CMG-3ESPC-60,EDAS-24IP
明溪雪峰,FJ,MXXF,117.19,26.35,410,100,CMG-3ESPC-60,EDAS-24IP
宁德樟湾,FJ,NDZW,119.56,26.68,49,100,CMG-3ESPC-60,EDAS-24IP
浦城南浦,FJ,PCNP,118.52,27.91,250,100,CMG-3ESPC-60,EDAS-24IP
平和山格,FJ,PHSG,117.34,24.4,58,100,CMG-3ESPC-60,EDAS-24IP
莆田荔城,FJ,PTLC,119.01,25.45,87,100,CMG-3ESPC-60,EDAS-24IP
莆田南日,FJ,PTNR,119.47,25.22,76,100,CMG-3ESPC-60,EDAS-24IP
平潭潭城,FJ,PTTC,119.76,25.5,44,100,FSS-3M（2S）,EDAS-24GN
上杭临城,FJ,SHLC,116.45,25.03,198,100,FSS-3M（2S）,EDAS-24IP
寿宁清源,FJ,SNQY,119.48,27.4,976,100,CMG-3ESPC-60,EDAS-24IP
邵武丹台,FJ,SWDT,117.48,27.33,221,100,CMG-3ESPC-60,EDAS-24IP
泰宁杉城,FJ,TNSC,117.18,26.91,316,100,BBVS-60,EDAS-24IP
武夷新丰,FJ,WYXF,118.01,27.75,262,100,CMG-3ESPC-60,EDAS-24IP
厦门思明,FJ,XMSM,118.08,24.45,87,100,FBS-3B,EDAS-24GN
永安小陶,FJ,YAXT,117.12,25.72,274,100,CMG-3ESPC-60,EDAS-24GN
永安燕西,FJ,YAYX,117.36,25.99,201,100,CMG-3ESPC-60,EDAS-24IP
